"Class";"LIV_CAL_03";"LIV_ISO_01";"LIV_SON_01";"PAL_COS_03";"PAL_RIB_03";"PAL_SPA_01";"ROV_BAG_01";"ROV_FIG_02";"ROV_SAN_03"
"Asteroidea";"0";"0";"0";"1";"0";"0";"0";"3";"0"
"Bivalvia";"334";"357";"92";"497";"299";"542";"298";"272";"231"
"Echinoidea";"1";"0";"10";"33";"1";"187";"0";"3";"2"
"Gastropoda";"7";"0";"39";"23";"15";"0";"13";"3";"4"
"Hexanauplia";"0";"0";"0";"1";"1";"0";"0";"6";"2"
"Holothuroidea";"3";"33";"8";"0";"0";"0";"2";"0";"2"
"Malacostraca";"190";"24";"108";"125";"57";"70";"388";"134";"353"
"Ophiuroidea";"70";"111";"67";"30";"147";"12";"71";"91";"101"
"Polychaeta";"1011";"1127";"1277";"807";"778";"822";"796";"646";"851"
"Pycnogonida";"0";"0";"1";"0";"3";"2";"0";"8";"0"
