"Family";"LIV_CAL_03";"LIV_ISO_01";"LIV_SON_01";"PAL_COS_03";"PAL_RIB_03";"PAL_SPA_01";"ROV_BAG_01";"ROV_FIG_02";"ROV_SAN_03"
"Alpheidae";"161";"3";"52";"10";"8";"11";"46";"14";"35"
"Amphiuridae";"39";"60";"7";"21";"125";"2";"37";"5";"9"
"Asterinidae";"0";"0";"0";"1";"0";"0";"0";"3";"0"
"Caecidae";"0";"0";"3";"0";"0";"0";"0";"1";"0"
"Callipallenidae";"0";"0";"1";"0";"3";"2";"0";"8";"0"
"Centropagidae";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"Cerithiidae";"3";"0";"16";"18";"0";"0";"6";"0";"2"
"Chaetopteridae";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Chrysopetalidae";"379";"202";"366";"140";"100";"73";"93";"78";"88"
"Colloniidae";"0";"0";"0";"0";"5";"0";"0";"0";"0"
"Corophiidae";"3";"13";"0";"78";"5";"34";"249";"57";"230"
"Corycaeidae";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Diogenidae";"0";"0";"0";"0";"10";"0";"0";"0";"0"
"Dorvilleidae";"30";"77";"74";"13";"12";"0";"45";"4";"11"
"Echinidae";"0";"0";"10";"3";"0";"5";"0";"3";"0"
"Eulimidae";"0";"0";"4";"2";"0";"0";"0";"1";"0"
"Eunicidae";"41";"14";"36";"30";"58";"16";"42";"37";"112"
"Galatheidae";"0";"0";"0";"0";"8";"0";"0";"0";"0"
"Genocidaridae";"1";"0";"0";"30";"1";"182";"0";"0";"0"
"Glyceridae";"2";"5";"5";"0";"1";"1";"0";"4";"0"
"Haliotidae";"0";"0";"2";"0";"0";"0";"0";"0";"0"
"Hesionidae";"311";"417";"402";"389";"160";"391";"561";"286";"507"
"Hiatellidae";"5";"2";"3";"0";"3";"0";"5";"9";"7"
"Hippolytidae";"2";"1";"1";"7";"0";"4";"7";"4";"3"
"Holothuriidae";"3";"33";"8";"0";"0";"0";"2";"0";"2"
"Lasaeidae";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Leptocheliidae";"3";"3";"0";"0";"0";"0";"0";"0";"0"
"Limidae";"329";"341";"89";"489";"296";"538";"290";"230";"223"
"Loveniidae";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"Lysianassidae";"0";"0";"6";"0";"0";"1";"0";"0";"0"
"Majidae";"13";"0";"48";"12";"25";"15";"0";"2";"0"
"Mitridae";"0";"0";"0";"0";"7";"0";"0";"0";"0"
"Muricidae";"0";"0";"0";"0";"0";"0";"3";"0";"0"
"Mytilidae";"0";"14";"0";"8";"0";"3";"1";"6";"1"
"Nereididae";"1";"0";"2";"5";"107";"1";"3";"5";"1"
"Oithonidae";"0";"0";"0";"0";"0";"0";"0";"1";"1"
"Ophiacanthidae";"31";"51";"60";"9";"22";"10";"34";"86";"92"
"Ostreidae";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Palaemonidae";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Paracalanidae";"0";"0";"0";"0";"0";"0";"0";"5";"0"
"Pectinidae";"0";"0";"0";"0";"0";"0";"1";"12";"0"
"Phyllodocidae";"7";"0";"1";"0";"0";"1";"0";"2";"0"
"Pilumnidae";"6";"0";"0";"15";"0";"4";"21";"38";"72"
"Pinnidae";"0";"0";"0";"0";"0";"0";"0";"15";"0"
"Pisaniidae";"4";"0";"14";"0";"1";"0";"4";"1";"2"
"Polynoidae";"24";"49";"24";"8";"97";"13";"4";"58";"30"
"Porcellanidae";"2";"4";"0";"3";"1";"1";"65";"19";"13"
"Runcinidae";"0";"0";"0";"3";"2";"0";"0";"0";"0"
"Sabellariidae";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Sabellidae";"11";"0";"2";"1";"0";"27";"0";"0";"1"
"Serpulidae";"35";"0";"1";"0";"0";"0";"0";"0";"0"
"Syllidae";"170";"363";"364";"220";"241";"297";"44";"169";"101"
"Terebellidae";"0";"0";"0";"0";"0";"0";"4";"0";"0"
"Trichobranchidae";"0";"0";"0";"1";"0";"1";"0";"3";"0"
